Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783598994,5,,Aggregated,1.500000,0.000000,3,3,3,3,160,180,190,190,190,190,190,49,0,3,20.529283571389044,1.1064450009143911,187.50065700078267,136.91836734693877
1783598995,5,,Aggregated,1.400000,0.000000,3,3,3,3,5,180,180,190,190,190,190,51,0,3,19.853648215740023,1.1064450009143911,187.50065700078267,136.72549019607843
1783598996,5,,Aggregated,1.300000,0.000000,3,3,3,3,5,180,180,190,190,190,190,53,0,3,19.214894094370976,1.1064450009143911,187.50065700078267,136.54716981132074
1783598997,5,,Aggregated,1.300000,0.000000,3,3,3,3,5,180,180,190,190,190,190,53,0,3,19.214894094370976,1.1064450009143911,187.50065700078267,136.54716981132074
1783598998,5,,Aggregated,1.400000,0.000000,3,3,3,3,7,180,180,190,190,190,190,55,0,3,18.70664936366004,1.1064450009143911,187.50065700078267,136.38181818181818
1783598999,5,,Aggregated,1.400000,0.000000,3,3,3,3,7,180,180,190,190,190,190,57,0,3,18.15841121054275,1.1064450009143911,187.50065700078267,136.2280701754386
1783599000,5,,Aggregated,1.400000,0.000000,3,3,3,3,7,180,180,190,190,190,190,57,0,3,18.15841121054275,1.1064450009143911,187.50065700078267,136.2280701754386
1783599001,5,,Aggregated,1.500000,0.000000,3,3,3,3,7,180,180,190,190,190,190,59,0,3,17.64512318648917,1.1064450009143911,187.50065700078267,136.08474576271186
1783599002,5,,Aggregated,1.300000,0.000000,3,3,3,3,5,170,180,190,190,190,190,61,0,3,17.158240163970746,1.1064450009143911,187.50065700078267,135.95081967213116
1783599003,5,,Aggregated,1.300000,0.000000,3,3,3,3,5,170,180,190,190,190,190,62,0,3,16.948177612991252,1.1064450009143911,187.50065700078267,135.88709677419354
1783599004,5,,Aggregated,1.300000,0.000000,3,3,3,3,5,170,180,190,190,190,190,63,0,3,16.735685889014146,1.1064450009143911,187.50065700078267,135.82539682539684
1783599005,5,,Aggregated,1.300000,0.000000,3,3,3,3,5,170,180,190,190,190,190,64,0,3,16.525063453286748,1.1064450009143911,187.50065700078267,135.765625
1783599006,5,,Aggregated,1.400000,0.000000,3,3,3,3,5,170,180,190,190,190,190,66,0,3,16.107787242645195,1.1064450009143911,187.50065700078267,135.65151515151516
1783599007,5,,Aggregated,1.400000,0.000000,3,3,3,3,5,170,180,190,190,190,190,68,0,3,15.718743867878134,1.1064450009143911,187.50065700078267,135.5441176470588
1783599008,5,,Aggregated,1.300000,0.000000,3,3,3,3,5,170,180,190,190,190,190,69,0,3,15.53899355096054,1.1064450009143911,187.50065700078267,135.4927536231884
1783599009,5,,Aggregated,1.300000,0.000000,3,3,3,3,5,170,180,190,190,190,190,69,0,3,15.53899355096054,1.1064450009143911,187.50065700078267,135.4927536231884
1783599010,5,,Aggregated,1.400000,0.000000,3,3,3,3,5,170,180,190,190,190,190,71,0,3,15.217821704398785,1.1064450009143911,187.50065700078267,135.3943661971831
1783599011,5,,Aggregated,1.400000,0.000000,3,3,3,3,5,170,180,190,190,190,190,74,0,3,14.728354054150751,1.1064450009143911,187.50065700078267,135.25675675675674
1783599012,5,,Aggregated,1.400000,0.000000,3,3,3,3,5,170,180,190,190,190,190,74,0,3,14.728354054150751,1.1064450009143911,187.50065700078267,135.25675675675674
1783599013,5,,Aggregated,1.400000,0.000000,3,3,3,3,5,170,180,190,190,190,190,74,0,3,14.728354054150751,1.1064450009143911,187.50065700078267,135.25675675675674
1783599014,5,,Aggregated,1.500000,0.000000,3,3,3,3,5,170,180,190,190,190,190,78,0,3,14.127471192366032,1.1064450009143911,187.50065700078267,135.0897435897436
1783599015,5,,Aggregated,1.400000,0.000000,3,3,3,3,5,170,180,190,190,190,190,79,0,3,13.983122936742458,1.1064450009143911,187.50065700078267,135.0506329113924
1783599016,5,,Aggregated,1.400000,0.000000,3,3,3,3,5,170,180,190,190,190,190,79,0,3,13.983122936742458,1.1064450009143911,187.50065700078267,135.0506329113924
1783599017,5,,Aggregated,1.400000,0.000000,3,3,3,3,5,170,180,190,190,190,190,79,0,3,13.983122936742458,1.1064450009143911,187.50065700078267,135.0506329113924
1783599018,5,,Aggregated,1.300000,0.000000,3,3,3,3,4,160,180,190,190,190,190,84,0,3,13.315659666746104,1.1064450009143911,187.50065700078267,134.86904761904762
1783599019,5,,Aggregated,1.300000,0.000000,3,3,3,3,4,160,180,190,190,190,190,84,0,3,13.315659666746104,1.1064450009143911,187.50065700078267,134.86904761904762
1783599020,5,,Aggregated,1.400000,0.000000,3,3,3,3,4,160,180,190,190,190,190,85,0,3,13.192422011856893,1.1064450009143911,187.50065700078267,134.83529411764707
1783599021,5,,Aggregated,1.400000,0.000000,3,3,3,3,4,160,180,190,190,190,190,85,0,3,13.192422011856893,1.1064450009143911,187.50065700078267,134.83529411764707
1783599022,5,,Aggregated,1.500000,0.000000,3,3,3,3,4,160,180,190,190,190,190,88,0,3,12.846117193310585,1.1064450009143911,187.50065700078267,134.73863636363637
1783599023,5,,Aggregated,1.400000,0.000000,3,3,3,3,4,160,180,190,190,190,190,89,0,3,12.737255281045394,1.1064450009143911,187.50065700078267,134.7078651685393
1783599024,10,,Aggregated,1.400000,0.000000,3,3,3,4,7,120,180,180,190,190,190,101,0,3,15.201344415917186,1.1064450009143911,187.50065700078267,136.79207920792078
1783599025,10,,Aggregated,1.400000,0.000000,3,3,3,4,7,120,180,180,190,190,190,102,0,3,15.088255784362177,1.1064450009143911,187.50065700078267,136.7450980392157
1783599026,10,,Aggregated,2.100000,0.000000,3,3,3,4,7,120,180,180,190,190,190,104,0,3,14.86964090390057,1.1064450009143911,187.50065700078267,136.65384615384616
1783599027,10,,Aggregated,2.100000,0.000000,3,3,3,4,7,120,180,180,190,190,190,106,0,3,14.649251745380889,1.1064450009143911,187.50065700078267,136.56603773584905
1783599028,10,,Aggregated,2.400000,0.000000,3,3,4,4,6,120,180,180,190,190,190,111,0,3,14.154916982046384,1.1064450009143911,187.50065700078267,136.36036036036037
1783599029,10,,Aggregated,2.700000,0.000000,3,3,3,4,6,120,180,180,190,190,190,113,0,3,13.953023840781698,1.1064450009143911,187.50065700078267,136.28318584070797
1783599030,10,,Aggregated,2.700000,0.000000,3,3,3,4,6,120,180,180,190,190,190,115,0,3,13.762780313118128,1.1064450009143911,187.50065700078267,136.2086956521739
1783599031,10,,Aggregated,2.800000,0.000000,3,3,3,4,6,120,180,180,190,190,190,118,0,3,13.512789050934263,1.1064450009143911,187.50065700078267,136.10169491525423
1783599032,10,,Aggregated,3.000000,0.000000,3,3,4,4,6,120,180,180,190,190,190,120,0,3,13.366369625115718,1.1064450009143911,187.50065700078267,136.03333333333333
1783599033,10,,Aggregated,3.000000,0.000000,3,3,4,4,6,72,180,180,190,190,190,122,0,3,13.199381827972934,1.1064450009143911,187.50065700078267,135.9672131147541
1783599034,10,,Aggregated,3.200000,0.000000,3,3,3,4,6,72,180,180,190,190,190,125,0,3,12.952807920082705,1.1064450009143911,187.50065700078267,135.872
1783599035,10,,Aggregated,3.300000,0.000000,3,3,3,4,6,72,180,180,190,190,190,131,0,3,12.482555053529653,1.1064450009143911,187.50065700078267,135.6946564885496
1783599036,10,,Aggregated,2.600000,0.000000,3,3,3,4,6,72,180,180,190,190,190,132,0,3,12.417046636432078,1.1064450009143911,187.50065700078267,135.66666666666666
1783599037,10,,Aggregated,2.600000,0.000000,3,3,3,4,6,72,180,180,190,190,190,137,0,3,12.086905357721058,1.1064450009143911,187.50065700078267,135.53284671532847
1783599038,10,,Aggregated,2.700000,0.000000,3,3,3,4,6,72,180,180,190,190,190,139,0,3,11.959058834599347,1.1064450009143911,187.50065700078267,135.4820143884892
1783599039,10,,Aggregated,3.100000,0.000000,3,3,3,4,5,69,180,180,190,190,190,143,0,3,11.71211472729146,1.1064450009143911,187.50065700078267,135.3846153846154
1783599040,10,,Aggregated,2.900000,0.000000,3,3,3,4,5,69,180,180,190,190,190,146,0,3,11.532750657526577,1.1064450009143911,187.50065700078267,135.31506849315068
1783599041,10,,Aggregated,2.900000,0.000000,3,3,3,4,6,69,180,180,190,190,190,147,0,3,11.49804919724888,1.1064450009143911,187.50065700078267,135.2925170068027
1783599042,10,,Aggregated,2.900000,0.000000,3,3,3,4,5,69,170,180,190,190,190,151,0,3,11.265324410559943,1.1064450009143911,187.50065700078267,135.20529801324503
1783599043,10,,Aggregated,3.100000,0.000000,3,3,3,4,5,69,170,180,190,190,190,154,0,3,11.098544149316186,1.1064450009143911,187.50065700078267,135.14285714285714
1783599044,10,,Aggregated,3.000000,0.000000,3,3,3,4,5,69,170,180,190,190,190,156,0,3,10.9943091602196,1.1064450009143911,187.50065700078267,135.10256410256412
1783599045,10,,Aggregated,3.200000,0.000000,3,3,3,4,5,69,170,180,190,190,190,160,0,3,10.79816903122719,1.1064450009143911,187.50065700078267,135.025
1783599046,10,,Aggregated,3.200000,0.000000,3,3,3,4,5,69,170,180,190,190,190,160,0,3,10.79816903122719,1.1064450009143911,187.50065700078267,135.025
1783599047,10,,Aggregated,3.000000,0.000000,3,3,3,4,5,65,170,180,190,190,190,166,0,3,10.512127114419723,1.1064450009143911,187.50065700078267,134.9156626506024
