waktu,nodes,running,creating,pending
12:12:30,3,20,0,0
12:12:33,3,20,0,0
12:12:36,3,20,0,0
12:12:39,3,20,0,0
12:12:41,3,20,0,0
12:12:44,3,20,0,0
12:12:47,3,20,0,0
12:12:50,3,20,0,0
12:12:53,3,20,0,0
12:12:55,3,20,0,0
12:12:58,3,20,0,0
12:13:01,3,20,0,0
12:13:04,3,20,0,0
12:13:07,3,20,0,0
12:13:10,3,20,0,0
12:13:12,3,20,0,0
12:13:15,3,20,0,0
12:13:18,3,20,0,0
12:13:21,3,20,0,0
12:13:24,3,20,5,0
12:13:26,3,25,0,0
12:13:29,3,25,0,0
12:13:32,3,25,0,0
12:13:35,3,25,0,0
12:13:38,3,25,0,0
12:13:41,3,25,0,0
12:13:43,3,25,0,0
12:13:46,3,25,0,0
12:13:49,3,25,0,0
12:13:52,3,25,0,0
12:13:55,3,25,0,0
12:13:58,3,25,0,0
12:14:00,3,25,0,0
12:14:03,3,25,0,0
12:14:06,3,25,0,0
12:14:09,3,25,0,0
12:14:12,3,25,0,0
12:14:15,3,25,0,0
12:14:18,3,25,0,0
12:14:21,3,25,0,0
12:14:24,3,25,5,0
12:14:27,3,30,0,0
12:14:29,3,30,0,0
12:14:32,3,30,0,0
12:14:35,3,30,0,0
12:14:38,3,30,0,0
12:14:41,3,30,0,0
12:14:44,3,30,0,0
12:14:46,3,30,0,0
12:14:49,3,30,0,0
12:14:52,3,30,0,0
12:14:55,3,30,0,0
12:14:58,3,30,0,0
12:15:01,3,30,0,0
12:15:03,3,30,0,0
12:15:06,3,30,0,0
12:15:09,3,30,0,0
12:15:12,3,30,0,0
12:15:15,3,30,0,0
12:15:18,3,30,0,0
12:15:20,3,30,0,0
12:15:23,3,30,0,0
12:15:26,3,36,0,2
12:15:29,3,36,0,2
12:15:32,3,36,0,2
12:15:35,3,36,0,2
12:15:38,3,36,0,2
12:15:41,3,36,0,2
12:15:44,3,36,0,2
12:15:47,3,36,0,2
12:15:49,3,36,0,2
12:15:52,3,36,0,2
12:15:55,3,36,0,2
12:15:58,3,36,0,2
12:16:01,3,36,0,2
12:16:04,3,36,0,2
12:16:07,3,36,0,2
12:16:10,3,36,0,2
12:16:13,3,36,0,2
12:16:16,3,36,0,2
12:16:18,3,36,0,2
12:16:21,3,36,0,2
12:16:24,3,36,0,7
12:16:27,3,36,0,10
12:16:30,3,36,0,10
12:16:33,3,36,0,10
12:16:36,3,36,0,10
12:16:39,3,36,0,10
12:16:42,3,36,0,10
12:16:45,3,36,0,10
12:16:48,3,36,0,10
12:16:50,3,36,0,10
12:16:53,3,36,0,10
12:16:56,3,36,0,10
12:16:59,3,36,0,10
12:17:02,3,36,0,10
12:17:05,3,36,0,10
12:17:08,3,36,0,10
12:17:11,3,36,0,10
12:17:14,3,36,0,10
12:17:17,3,36,0,10
12:17:19,3,36,0,10
12:17:22,3,36,0,10
12:17:25,3,36,0,18
12:17:28,3,36,0,18
12:17:31,3,36,0,18
12:17:33,3,36,0,18
12:17:36,3,36,0,18
12:17:39,3,36,0,18
12:17:42,3,36,0,18
12:17:45,3,36,0,18
12:17:47,3,36,0,18
12:17:50,3,36,0,18
12:17:53,3,36,0,18
12:17:56,3,36,0,18
12:17:59,3,36,0,18
12:18:01,3,36,0,18
12:18:04,3,36,0,18
12:18:07,3,36,0,18
12:18:10,3,36,0,18
12:18:12,3,36,0,18
12:18:15,3,36,0,18
12:18:18,3,36,0,18
12:18:21,3,36,0,18
12:18:23,3,36,0,18
12:18:26,3,36,0,18
12:18:29,3,36,0,18
12:18:32,3,36,0,18
12:18:35,3,36,0,18
12:18:37,3,36,0,18
12:18:40,3,36,0,18
12:18:43,3,36,0,18
12:18:46,3,36,0,18
12:18:48,3,36,0,18
12:18:51,3,36,0,18
12:18:54,3,36,0,18
12:18:57,3,36,0,18
12:18:59,3,36,0,18
12:19:02,3,36,0,18
12:19:05,3,36,0,18
12:19:08,3,36,0,18
12:19:10,3,36,0,18
12:19:13,3,36,0,18
12:19:16,3,36,0,18
12:19:19,3,36,0,18
12:19:22,3,36,0,18
12:19:24,3,36,0,18
12:19:27,3,36,0,18
12:19:30,3,36,0,18
12:19:33,3,36,0,18
12:19:36,3,36,0,18
12:19:38,3,36,0,18
12:19:41,3,36,0,18
12:19:44,3,36,0,18
12:19:47,3,36,0,18
12:19:49,3,36,0,18
12:19:52,3,36,0,18
12:19:55,3,36,0,18
12:19:58,3,36,0,18
12:20:01,3,36,0,18
12:20:03,3,36,0,18
12:20:06,3,36,0,18
12:20:09,3,36,0,18
12:20:12,3,36,0,18
12:20:14,3,36,0,18
12:20:17,3,36,0,18
12:20:20,3,36,0,18
12:20:23,3,36,0,18
