waktu,nodes,running,creating,pending
12:09:15,3,0,0,0
12:09:18,3,0,0,0
12:09:21,3,0,0,0
12:09:24,3,0,5,0
12:09:26,3,5,0,0
12:09:29,3,5,0,0
12:09:32,3,5,0,0
12:09:35,3,5,0,0
12:09:37,3,5,0,0
12:09:40,3,5,0,0
12:09:43,3,5,0,0
12:09:46,3,5,0,0
12:09:48,3,5,0,0
12:09:51,3,5,0,0
12:09:54,3,5,0,0
12:09:57,3,5,0,0
12:09:59,3,5,0,0
12:10:02,3,5,0,0
12:10:05,3,5,0,0
12:10:08,3,5,0,0
12:10:10,3,5,0,0
12:10:13,3,5,0,0
12:10:16,3,5,0,0
12:10:19,3,5,0,0
12:10:21,3,5,0,0
12:10:24,3,5,5,0
12:10:27,3,10,0,0
12:10:30,3,10,0,0
12:10:32,3,10,0,0
12:10:35,3,10,0,0
12:10:38,3,10,0,0
12:10:41,3,10,0,0
12:10:43,3,10,0,0
12:10:46,3,10,0,0
12:10:49,3,10,0,0
12:10:52,3,10,0,0
12:10:54,3,10,0,0
12:10:57,3,10,0,0
12:11:00,3,10,0,0
12:11:03,3,10,0,0
12:11:05,3,10,0,0
12:11:08,3,10,0,0
12:11:11,3,10,0,0
12:11:14,3,10,0,0
12:11:17,3,10,0,0
12:11:19,3,10,0,0
12:11:22,3,10,0,0
12:11:25,3,11,4,0
12:11:28,3,15,0,0
12:11:31,3,15,0,0
12:11:33,3,15,0,0
12:11:36,3,15,0,0
12:11:39,3,15,0,0
12:11:42,3,15,0,0
12:11:45,3,15,0,0
12:11:48,3,15,0,0
12:11:50,3,15,0,0
12:11:53,3,15,0,0
12:11:56,3,15,0,0
12:11:59,3,15,0,0
12:12:02,3,15,0,0
12:12:05,3,15,0,0
12:12:07,3,15,0,0
12:12:10,3,15,0,0
12:12:13,3,15,0,0
12:12:16,3,15,0,0
12:12:19,3,15,0,0
12:12:22,3,15,0,0
12:12:24,3,16,4,0
12:12:27,3,20,0,0
