waktu,nodes,running,pending
04:41:34,1,0,0
04:41:50,1,0,0
04:42:06,1,0,0
04:42:22,1,7,23
04:42:39,1,7,23
04:42:55,3,7,23
04:43:11,3,7,8
04:43:27,3,7,0
04:43:44,3,7,0
04:44:00,3,30,0
04:44:17,3,30,0
04:44:33,3,30,0
04:44:49,3,30,0
04:45:06,3,30,0
04:45:22,3,30,0
04:45:39,3,30,0
04:45:55,3,30,0
04:46:11,3,30,0
04:46:28,3,30,0
04:46:44,3,30,0
04:47:01,3,30,0
04:47:17,3,30,0
04:47:34,3,30,0
04:47:50,3,30,0
04:48:06,3,30,0
04:48:23,3,30,0
04:48:39,3,30,0
04:48:56,3,30,0
04:49:12,3,30,0
04:49:28,3,30,0
04:49:45,3,30,0
04:50:01,3,30,0
04:50:18,3,30,0
04:50:34,3,30,0
04:50:50,3,30,0
04:51:07,3,30,0
04:51:23,3,30,0
04:51:40,3,30,0
04:51:56,3,30,0
04:52:12,3,30,0
04:52:29,3,30,0
04:52:45,3,30,0
04:53:02,3,30,0
04:53:18,3,30,0
04:53:34,3,30,0
04:53:51,3,30,0
04:54:07,3,30,0
04:54:24,3,30,0
04:54:40,3,30,0
04:54:56,3,30,0
